district,numberOfRooms,meters,furniture,price
Stare Miasto,1,33,True,663000.0
Grzegórzki,2,20.6,False,219000.0
Prądnik Biały,1,21.13,False,250000.0
Podgórze Duchackie,3,70,True,849000.0
Prądnik Czerwony,3,64,True,850000.0
Krowodrza,1,37,True,559000.0
Podgórze Duchackie,3,49.1,True,679000.0
Czyżyny,3,60.5,False,890000.0
Prądnik Czerwony,3,44,True,687000.0
Grzegórzki,1,38,True,535000.0
Krowodrza,2,46,True,756756.0
Prądnik Biały,3,59.5,True,1050000.0
Prądnik Czerwony,2,62.04,True,804224.52
Swoszowice,4,61.63,False,699990.0
Podgórze,2,49.09,True,750000.0
Stare Miasto,3,70,False,1089000.0
Prądnik Czerwony,4,87.21,False,1369197.0
Zwierzyniec,4,130,False,1699000.0
Prądnik Biały,2,64,False,750000.0
Zwierzyniec,3,70,False,630000.0
Bieżanów-Prokocim,4,99.4,False,1259000.0
Nowa Huta,1,18.25,True,380000.0
Bieżanów-Prokocim,3,68.9,True,970000.0
Prądnik Biały,2,40.14,False,635000.0
Bieżanów-Prokocim,2,45,True,640000.0
Swoszowice,3,96,True,997600.0
Zwierzyniec,4,82.08,False,1390000.0
Podgórze,3,59,True,799000.0
Zwierzyniec,3,65.99,False,1781730.0
Prądnik Biały,4,126,False,1340000.0
Krowodrza,1,20,True,430000.0
Nowa Huta,2,46,False,555000.0
Prądnik Biały,2,39.75,False,616125.0
Podgórze,2,45.24,False,570024.0
Prądnik Biały,3,65.73,False,887355.0
Podgórze,3,62.5,True,835000.0
Zwierzyniec,4,102.8,True,1289999.0
Prądnik Czerwony,2,53.06,False,1000000.0
Podgórze,2,30.7,True,549000.0
Dębniki,3,83,True,895000.0
Stare Miasto,1,24.5,False,459000.0
Bieżanów-Prokocim,2,50,True,575000.0
Stare Miasto,2,50.3,True,949000.0
Bieńczyce,2,36,True,495000.0
Podgórze,4,144.57,False,3600000.0
Bieżanów-Prokocim,2,37.1,False,479000.0
Podgórze,2,36,True,670000.0
Stare Miasto,2,52,True,949000.0
Łagiewniki-Borek Fałęcki,3,66,True,799000.0
Stare Miasto,2,34.5,True,755000.0
Stare Miasto,2,53,True,899000.0
Prądnik Czerwony,3,45.86,False,550000.0
Czyżyny,2,36.93,False,559000.0
Prądnik Biały,3,46.95,True,699000.0
Łagiewniki-Borek Fałęcki,3,58.4,True,750000.0
Podgórze,4,80.19,False,1467477.0
Podgórze,2,42,True,589999.0
Bieńczyce,2,38.28,True,489999.0
Krowodrza,3,64,True,1349000.0
Czyżyny,4,86.61,True,1279000.0
Grzegórzki,2,32,True,540000.0
Prądnik Biały,2,39.3,False,648450.0
Bieżanów-Prokocim,3,64.1,True,960000.0
Stare Miasto,3,62,False,1490000.0
Wzgórza Krzesławickie,1,28,True,465000.0
Podgórze,2,30.88,False,449000.0
Nowa Huta,2,49,False,565000.0
Prądnik Biały,1,25.33,False,430000.0
Dębniki,2,39,False,585000.0
Podgórze,3,64,True,1465600.0
Bieżanów-Prokocim,2,49.37,False,658000.0
Bronowice,4,103.4,False,2016300.0
Bieżanów-Prokocim,2,50.5,False,630000.0
Prądnik Czerwony,3,64.45,False,884000.0
Podgórze Duchackie,1,25.87,True,395000.0
Krowodrza,2,55.72,True,1139000.0
Krowodrza,3,48,True,890000.0
Mistrzejowice,1,38.76,True,499000.0
Krowodrza,1,23.32,False,455000.0
Prądnik Biały,1,34,True,499000.0
Nowa Huta,3,57,True,670000.0
Mistrzejowice,2,34,True,498000.0
Zwierzyniec,4,98,False,1540000.0
Krowodrza,3,52,True,740000.0
Krowodrza,1,17.01,True,339000.0
Podgórze,2,30.7,True,549000.0
Prądnik Biały,2,33.87,False,531759.0
Prądnik Biały,3,74.1,False,999000.0
Grzegórzki,2,45,True,675000.0
Stare Miasto,3,75,True,1099000.0
Prądnik Czerwony,2,43.85,False,649000.0
Nowa Huta,3,60.6,True,787000.0
Podgórze,3,50,False,799000.0
Bronowice,2,42,True,539000.0
Bieżanów-Prokocim,3,70.75,False,929000.0
Grzegórzki,2,48.3,False,780000.0
Nowa Huta,4,97,False,1160993.0
Krowodrza,1,25,True,450000.0
Bieżanów-Prokocim,3,70.75,False,929000.0
Bieżanów-Prokocim,2,44.42,True,715000.0
Nowa Huta,2,34,True,577455.0
Nowa Huta,3,63,False,720000.0
Wzgórza Krzesławickie,2,40.3,False,499000.0
Bieńczyce,3,47.3,True,650000.0
Bieżanów-Prokocim,3,54.45,True,899000.0
